0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/nprogress/nprogress.css HTTP/1.1" 200 1458
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.buttons.css HTTP/1.1" 200 68
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.nonblock.css HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/bootstrap-datetimepicker/build/css/bootstrap-datetimepicker.css HTTP/1.1" 200 9038
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:12 +0700] "GET /inventory-management/resources/vendors/jquery/dist/jquery.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/fastclick/lib/fastclick.js HTTP/1.1" 200 25965
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/nprogress/nprogress.js HTTP/1.1" 200 11565
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.concat.min.js HTTP/1.1" 200 44715
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.js HTTP/1.1" 200 13359
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.buttons.js HTTP/1.1" 200 4022
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/pnotify/dist/pnotify.nonblock.js HTTP/1.1" 200 2602
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/moment/min/moment.min.js HTTP/1.1" 200 46645
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/bootstrap-datetimepicker/build/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 38510
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/build/js/custom.js HTTP/1.1" 200 117687
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/resources/images/user.png HTTP/1.1" 200 7627
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/product-info/view/images/img.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /inventory-management/upload/1615723127804_LenovoA5s.jpg HTTP/1.1" 200 29691
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:13 +0700] "GET /favicon.ico HTTP/1.1" 404 759
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:18 +0700] "GET /inventory-management/resources/vendors/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:20 +0700] "GET /inventory-management/product-info/view/8 HTTP/1.1" 200 12630
0:0:0:0:0:0:0:1 - - [22/Mar/2021:15:31:20 +0700] "GET /inventory-management/product-info/view/images/img.jpg HTTP/1.1" 404 683
